TM - Harmonized Term,Bloqueado por,Bloqueando,Country,Data,ID,Property is linked to EU terms or other Harmonized Terms,Related FB:properties,Rollup,Subitem,TC - Adopted definition,TC - Article ID (it depends of the country),TC - Expert Definition (English),TC - Expert Definition (Native Language)),TC - Explicit Definition (English),"TC - Explicit Definition (Native Language) ",TC - FB:Domains,TC - Fire Expert Entity,TC - Fire Expert Guidance,TC - Implicit Definition  (English),TC - Implicit Definition  (Native Language),TC - Last Edition,TD - Comment IFC,TD - IFC Entity,TD - Mapping IFC,TD - Type,TD - Unit,TD - Value,TM - Designators,TM - Equivalent Term,TM - FB:documents,TM - Fire Expert Validation,TM - Name (English),TM - Name (native language),TM - Remarks,TR - Code,TR - Definition (English),TR - Definition (Native Language),TR - Derivation,TR - Domain,TR - Domains,TR - FB:articles,TR - FB:articles (WIP),TR - ISO definition,TR - Interpretation level,TR - Language,TR - Remarks,TR - SO Term IRI,TR - Status,item principal
AreaFireCompartment,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,69,AreaFireCompartment (https://www.notion.so/AreaFireCompartment-96ee5e0e075a400cbe3cb8409cd9b61e?pvs=21),,,,Explicit and implicit definition,"BR18-VK5-D01, BR18-§455",NA,NA,"The sum of the gross areas of all floors, including basements and usable roof spaces as well as enclosed balconies, enclosed porches, connecting corridors and similar. In connection with fire conditions, no deductions may be made, cf. BR18 § 455(3)(1), (4) and (5) and (4), which may only be used when calculating the building percentage.","Summen af bruttoarealerne for samtlige etager, herunder kældre og udnyttelige tagetager samt altanlukninger, udestuer, forbindelsesgange og lignende. I forbindelse med brandforhold må der ikke foretages fradrag, jf. BR18 § 455, stk. 3 nr. 1, 4 og 5 samt stk. 4, som alene må benyttes ved beregning af bebyggelsesprocent.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,"Extract from BR18 §445: The total area of the fire compartment is calculated as follows:
- by adding the gross areas of all floors, including inserted floors, basements and usable attics as well as balcony openings, conservatories, connecting corridors and similar.
- Rooms that pass through several floors are only included in the floor in which the floor is located.
- However, both external and internal stairs, stairwells, balconies, installation shafts and elevator shafts are counted for each floor.
The floor area is not included:
- Open balconies (completely open above the railing on at least 2 sides)
- Open roof terraces.
- Bed lofts with an area of up to 4.5 m².
- Projection of external stairs and balconies on the ground.
- External fire escape stairs (escape stairs).
- External insulation of a maximum of 25 cm. 
The floor area is measured in a plane determined by the top of the finished floor to the outside of the limiting external walls with the following deviations:
1) In usable attics, the area in a horizontal plane 1.50 m above the finished floor is included within the intersection of the plane with the outside of the roof covering.
2) For open floors, gates, airlocks and the like, the area is counted to the line indicated by the outer walls of the building.
3) For common walls between rooms that are to be included in each floor area, measure to the middle of the wall; however, for common walls located above the boundary of the property line, measure to the boundary property line.","BR18 §445: Etageareal beregnes ved sammenlægning af bruttoarealerne af samtlige etager, herunder indskudte etager, kældre og udnyttelige tagetager samt altanlukninger, udestuer, forbindelsesgange og lignende.
   Stk. 2. Rum, der går gennem flere etager, medregnes kun til den etage, i hvilken gulvet er beliggende. Både udvendige og indvendige trapper, trapperum, altangange, installationsskakte og elevatorskakte medregnes dog for hver etage.
   Stk. 3. Til etageareal medregnes ikke:
1. Den del af kælderen, hvor det omgivende terræn ligger mindre end 1,25 m under loftet i kælderen.
2. Åbne altaner.
3. Åbne tagterrasser.
4. Affaldsrum i terrænniveau.
5. Sikringsrum til sikringsrumspligtige bygninger med forskriftsmæssig størrelse samt offentlige beskyttelsesrum, der er myndighedsgodkendte.
6. Hemse med et areal på indtil 4,5 m².
7. Udvendige trappers og altanganges projektion på terræn.
8. Udvendige brandtrapper (flugtvejstrapper).
9. Udvendig efterisolering på maksimalt 25 cm.
   Stk. 4. For garager, carporte, udhuse, drivhuse, skure, hønsehuse, åbne overdækninger, herunder åbne overdækkede terrasser og lignende bygninger, medregnes kun den del af arealet, der overstiger:
1. 20 m² pr. bolig ved etageboligbebyggelser og ved samlede boligbebyggelser med både lodret og vandret lejlighedsskel samt ved rækkehuse, kædehuse, gruppehuse og lignende former for helt eller delvist sammenbyggede enfamiliehuse.
2. 50 m² pr. bolig ved fritliggende enfamiliehuse, dobbelthuse med lodret lejlighedsskel og sommerhuse, og
3. 25 pct. af bebyggelsens øvrige etageareal ved andre bebyggelser, herunder erhverv og institutioner, dog medregnes garage- og udhusarealer i kælder eller gårdkælder ikke.
   Stk. 5. Etagearealet måles i et plan bestemt af overside af færdigt gulv til ydersiden af de begrænsende ydervægge med følgende afvigelser:
1. I udnyttelige tagetager medregnes det areal, der i et vandret plan 1,50 m over færdigt gulv ligger inden for planets skæring med tagbeklædningens udvendige side.
2. Ved åbne etager, porte, luftsluser og lignende medregnes til den linje, som bygningens ydervægge i øvrigt angiver.
3. Ved fælles vægge mellem rum, der skal medregnes til hvert sit etageareal, måles til midten af væggen, idet der dog ved fælles vægge placeret over skel måles til skellinjen.","January 6, 2026 1:13 PM",,,,property,m2,Number,,Floor area in terms of fire safety,"BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21), BR18 (https://www.notion.so/BR18-231f8487e6e780059d56ce420a53f666?pvs=21)",Yes,Compartment-Area - Floor area,Etageareal i brandmæssig henseende,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,dk-DK,,NA,,
FireCompartmentSubcompartment,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,117,FireCompartment (https://www.notion.so/FireCompartment-223f8487e6e78062941dcf8ae22bdb7f?pvs=21),,,,Explicit definition,BR18-VK5-D01,NA,NA,One or more rooms from which the fire does not spread to other subcompartments during the time required for evacuation and rescue efforts in adjacent subcompartments.,"Et eller flere rum, hvorfra branden ikke spredes til andre brandceller i den tid, der kræves til evakuering og redningsberedskabets redningsindsats i tilstødende brandceller.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.2 Fire Compartment Boundary (https://www.notion.so/1-2-Fire-Compartment-Boundary-24ef8487e6e7800cb8eff096b2eb36ac?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,[-],,,"Fire cell, Fire compartment",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Compartment - Subcompartment,Brandcelle, NA,,,,,,"1. COMPARTMENTATION, 1.2 Fire Compartment boundary",,,,,dk-DK,,NA,,
BuildingFireCompartmentDaytimeoccupancy,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,124,,,,,Explicit definition,BR18-VK5-D01,NA,NA,Use classification that means that there are no sleeping persons in the building. Buildings used by people who are awake at night are also considered daytime occupancy buildings.,"Anvendelse som medfører, at der ikke er sovende personer i bygningen. Bygninger, der anvendes af vågne personer om natten, betragtes også som bygninger til dagophold.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,Y/N,Boolean (yes/no),,"Day stay, Daycare",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Daytime occupancy buildings,Dagophold ,NA,,,,,,"1. COMPARTMENTATION, 2. EVACUATION",,,,,dk-DK,,NA,,
DistanceActualTravel,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,85,,,,,Explicit definition,BR18-VK5-D01,NA,NA,"The actual distance that a person must walk in a walking line to reach a given point. The walking line is laid out as the direct route, taking into account fixed obstacles or fixtures, and on a walkable surface. Also used to refer to the physical length of a corridor.","Den faktiske afstand, som en person skal gå i ganglinje for at nå et givent punkt. Ganglinjen udlægges som den direkte vej, under hensyn til faste forhindringer eller fast inventar, og på trædefast areal. Anvendes også om den fysiske længde af en gang.",2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,m,Number,,"Aisle length, Gangway length, Walking distance, Gear length",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Distance - Actual travel distance ,Ganglængde,NA,,,,,,2. EVACUATION,,,,,dk-DK,,NA,,
DistanceDirectTravel,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,172,,,,,Explicit definition,BR18-VK5-D01,NA,NA,"The theoretical longest distance a person must travel to reach the nearest exit or exit door by moving along a path of travel. The paths are laid out corresponding to the most unfavorable location of the person. In rooms, the distance along paths leading to the exit door in one direction only should be multiplied by 1.5.","Den teoretisk længste afstand, som en person skal tilbagelægge for at nå frem til nærmeste udgang eller udgangsdør ved at bevæge sig langs ganglinjer. Ganglinjer udlægges svarende til den mest ugunstige placering af personen. I lokaler skal afstanden via ganglinjer, der kun fører til udgangsdør i én retning, multipliceres med 1,5.","2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21), 2.2 Travel Distance (https://www.notion.so/2-2-Travel-Distance-24ef8487e6e7802c8beecc818f4057ac?pvs=21)",NA,The how to calculate are illustrated in BR18-VK5-K02-figur2.2,NA,NA,"January 6, 2026 1:13 PM",,,,,m,Number,,"Walking distance, Gangway distance",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Distance - Direct travel distance (theoretical),Gangafstand,NA,,,,,,"2. EVACUATION, 2.2 Travel_distance",,,,,dk-DK,,NA,,
LengthHosepath,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,141,,,,,Explicit definition,BR18-VK5-D01,NA,NA,"The distance for deploying fire service hoses, which is determined based on the actual travel distance. Any additional distance resulting from hoisting hoses through internal openings (durchsicht) or external hoisting to access via stairwells must also be included as the corresponding vertical distance","Afstand for trækning af redningsberedskabets slanger, der fastlægges svarende til ganglængden. Eventuelt bidrag fra ophaling af slange via durchsicht eller udvendig ophaling til indsats via trapperum skal medtages svarende til den lodrette afstand.",,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,m,Number,,"Snake road, Serpentine road, Snake path",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Distance - Hose path,Slangevej,NA,,,,,,,,,,,dk-DK,,NA,,
DistancePathway,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,102,,,,,Explicit definition,BR18-VK5-D01,NA,NA,"Imaginary line that you follow when walking towards a door in a room, down a hallway or on a staircase or ramp, for example. Where the pathway runs along inclined building elements, such as ramps or stairs, the pathway is laid out as the inclined line along the element from top to bottom.","Imaginær linje som man følger, når man f.eks. går hen mod en dør i et lokale, ned ad en gang eller på en trappe eller rampe. Hvor ganglinjen forløber langs skrå bygningselementer, f.eks. ramper eller trapper, udlægges ganglinjen som den skrå linje langs elementet fra øverste til nederste del.",2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,m,Number,,"Hydrograph, Gangway, Aisle line",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Distance - Pathway,Ganglinje,NA,,,,,,2. EVACUATION,,,,,dk-DK,,NA,,
DoorEscaperoute,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,121,DoorEscaperoute (https://www.notion.so/DoorEscaperoute-2a8f8487e6e780769afee12c36d85d1d?pvs=21),,,,Explicit definition,BR18-VK5-D01,NA,NA,"Door to escape route or door in escape route, e.g. exit door and exit","Dør til flugtvej eller dør i flugtvej, f.eks. udgangsdør og udgang",2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,object,[-],,,"Escape door, Emergency escape door, Emergency exit door",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Escape route door,Flugtvejsdør,NA,,,,,,2. EVACUATION,,,,,dk-DK,,NA,,
EmergencyExitLighting,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,77,EmergencyExitLighting (https://www.notion.so/EmergencyExitLighting-2a8f8487e6e780c5b112eb7e342b1d5d?pvs=21),,,,Explicit definition,BR18-VK5-D01,NA,NA,"Illuminated, translucent or luminescent (fluorescent) escape route signs or escape route luminaires placed above or immediately adjacent to exits and exit doors, supplemented by directional signs as necessary, to direct people to the nearest exit in case of evacuation.","Belyste, gennemlyste eller selvlysende (fluorescerende) flugtvejsskilte eller flugtvejsarmaturer, der placeres over eller umiddelbart ved udgange og udgangsdøre, suppleret med henvisningsskilte i fornødent omfang, med det formål, at personer i tilfælde af evakuering kan ledes til nærmeste udgang.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,,,,"Escape route lighting, Emergency escape route lighting, Escape route illumination",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Emergency exit lighting,Flugtvejsbelysning,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size, 2. EVACUATION",,,,,dk-DK,,NA,,ActiveFireProtection (https://www.notion.so/ActiveFireProtection-222f8487e6e7805a8988d633b5d8aa19?pvs=21)
EmergencyPanicLights,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,74,,,,,Explicit definition,BR18-VK5-D01,NA,NA,Floor area lighting that switches on when the normal power supply fails. Panic lighting is intended to allow people to orient themselves during an evacuation so that they can find their way to and orient themselves in escape routes.,"Belysning af gulvareal, der tænder ved svigt af den normale strømforsyning. Panikbelysning har til formål at give personer mulighed for at orientere sig i forbindelse med evakuering, så de kan finde vej til og orientere sig i flugtveje.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,,Panic lighting,BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Emergency panic lights,Panikbelysning,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size, 2. EVACUATION",,,,,dk-DK,,NA,,ActiveFireProtection (https://www.notion.so/ActiveFireProtection-222f8487e6e7805a8988d633b5d8aa19?pvs=21)
RoomfunctionSafetyStaircase,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,152,,,,,Explicit definition,BR18-VK5-D01,NA,NA,"Escape stairs designed to minimize the likelihood of smoke spreading to or developing in the stairwell in order to maintain its function as an escape and entry route. The safety measures may include, among other things, that the staircase is equipped with pressurization systems (ATA systems) or with access via an airlock and stricter requirements for surfaces etc. in the stairwell.","Flugtvejstrappe, der er udformet, så der er meget lille sandsynlighed for røgspredning til eller røgudvikling i trapperummet, for at opretholde funktionen som flugtvej og indtrængningsvej. Sikringen kan blandt andet omfatte, at trappen udføres med tryksætningsanlæg (ATA-anlæg) eller med adgang over luftsluse samt skærpede krav til overflader mv. i trapperummet.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.2 Fire Compartment Boundary (https://www.notion.so/1-2-Fire-Compartment-Boundary-24ef8487e6e7800cb8eff096b2eb36ac?pvs=21), 2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,object,[-],,,Safety staircase,BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Emergency safety staircase,Sikkerhedstrappe,NA,,,,,,"1. COMPARTMENTATION, 1.2 Fire Compartment boundary, 2. EVACUATION",,,,,dk-DK,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionEscaperouteCorridor,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,126,Roomfunction (https://www.notion.so/Roomfunction-2a8f8487e6e780d99665ff8c6360a37c?pvs=21),,,,Explicit definition,BR18-VK5-D01,NA,NA,"A corridor that is primarily designed for escape route function and provides access to one or more exits. An escape route corridor is designed in its own fire compartment (nomaly a Subcompartment) to protect people from critical conditions during evacuation. There are special requirements for the design of escape routes and the fire load in an escape route must not exceed 50 MJ/m2, corresponding to ultra low fire load","Gang, der primært er indrettet til flugtvejsfunktion, og som giver adgang til en eller flere udgange. En flugtvejsgang indrettes i egen brandmæssige enhed, for at beskytte personer mod kritiske forhold under evakuering. Der er særlige krav til indretningen af flugtvejsgange og brandbelastning en en flugtvejsgang må højst være 50 MJ/m2, svarende til ultra lav brandbelastning","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.2 Fire Compartment Boundary (https://www.notion.so/1-2-Fire-Compartment-Boundary-24ef8487e6e7800cb8eff096b2eb36ac?pvs=21), 2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,object,[-],,,"Escape route corridor, Escape route passageway",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Evacuation route corridor,Flugtvejsgang,NA,,, ,,,"1. COMPARTMENTATION, 1.2 Fire Compartment boundary, 2. EVACUATION",,,,,dk-DK,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
